12,Collin Gillespie,PG,1-Jun,195,26,Phoenix Suns,2,Villanova,"2022 NBA Draft, Undrafted",United States
27,Rudy Gobert,C,1-Jul,258,32,Minnesota Timberwolves,11,Cholet Basket (France),2013 Rnd 1 Pick 27,France
32,Aaron Gordon,F,8-Jun,235,29,Denver Nuggets,10,Arizona,2014 Rnd 1 Pick 4,United States
23,Eric Gordon,G,3-Jun,215,35,Philadelphia Sixers,16,Indiana,2008 Rnd 1 Pick 7,United StatesBahamas
0,Jazian Gortman,G,2-Jun,184,21,Dallas Mavericks,0,Overtime Elite (Georgia),"2023 NBA Draft, Undrafted",United States
9,Jerami Grant,F,7-Jun,210,30,Portland Trail Blazers,10,Syracuse,2014 Rnd 2 Pick 9,United States
20,A.J. Green,PG,4-Jun,190,25,Milwaukee Bucks,2,Northern Iowa,"2022 NBA Draft, Undrafted",United States
23,Draymond Green,F,6-Jun,230,34,Golden State Warriors,12,Michigan State,2012 Rnd 2 Pick 5,United States
4,Jalen Green,SG,4-Jun,186,22,Houston Rockets,3,NBA G League Ignite,2021 Rnd 1 Pick 2,United States
4,Javonte Green,G,5-Jun,205,31,New Orleans Pelicans,5,Radford,"2015 NBA Draft, Undrafted",United StatesMontenegro
32,Jeff Green,F,8-Jun,235,38,Houston Rockets,16,Georgetown,2007 Rnd 1 Pick 5,United States
10,Josh Green,SG,5-Jun,200,23,Charlotte Hornets,4,Arizona,2020 Rnd 1 Pick 18,United StatesAustralia
5,Quentin Grimes,SG,4-Jun,210,24,Dallas Mavericks,3,Houston,2021 Rnd 1 Pick 25,United States
18,Mouhamed Gueye,F,10-Jun,210,21,Atlanta Hawks,1,Washington State,2023 Rnd 2 Pick 9,Senegal
28,Rui Hachimura,F,8-Jun,230,26,Los Angeles Lakers,5,Gonzaga,2019 Rnd 1 Pick 9,Japan
0,Tyrese Haliburton,PG,5-Jun,185,24,Indiana Pacers,4,Iowa State,2020 Rnd 1 Pick 12,United States
25,P.J. Hall,PF,10-Jun,245,23,Denver Nuggets,0,Clemson,"2024 NBA Draft, Undrafted",United States
8,Tim Hardaway Jr.,SG,5-Jun,205,32,Detroit Pistons,11,Michigan,2013 Rnd 1 Pick 24,United States
1,James Harden,SG,5-Jun,220,35,Los Angeles Clippers,15,Arizona State,2009 Rnd 1 Pick 3,United States
1,Jaden Hardy,SG,3-Jun,198,22,Dallas Mavericks,2,NBA G League Ignite,2022 Rnd 2 Pick 7,United States
14,Gary Harris,SG,4-Jun,210,30,Orlando Magic,10,Michigan State,2014 Rnd 1 Pick 19,United States
12,Tobias Harris,F,8-Jun,226,32,Detroit Pistons,13,Tennessee,2011 Rnd 1 Pick 19,United States
3,Josh Hart,SG,4-Jun,215,29,New York Knicks,7,Villanova,2017 Rnd 1 Pick 30,United States
55,Isaiah Hartenstein,PF,Jul-00,250,26,Oklahoma City Thunder,6,Zalgiris (Lithuania),2017 Rnd 2 Pick 13,United StatesGermany
30,Sam Hauser,SF,7-Jun,217,26,Boston Celtics,3,Virginia,"2021 NBA Draft, Undrafted",United States
24,Jordan Hawkins,G,5-Jun,190,22,New Orleans Pelicans,1,UConn,2023 Rnd 1 Pick 14,United States
11,Jaxson Hayes,PF,Jul-00,220,24,Los Angeles Lakers,5,Texas,2019 Rnd 1 Pick 8,United States
0,Scoot Henderson,G,3-Jun,202,20,Portland Trail Blazers,1,NBA G League Ignite,2023 Rnd 1 Pick 3,United States
0,Taylor Hendricks,F,9-Jun,215,20,Utah Jazz,1,UCF,2023 Rnd 1 Pick 9,United States
14,Tyler Herro,SG,5-Jun,195,24,Miami Heat,5,Kentucky,2019 Rnd 1 Pick 13,United States
7,Buddy Hield,G,4-Jun,220,31,Golden State Warriors,8,Oklahoma,2016 Rnd 1 Pick 6,Bahamas
24,Haywood Highsmith,F,5-Jun,220,27,Miami Heat,4,Wheeling Jesuit,"2018 NBA Draft, Undrafted",United States
0,Aaron Holiday,PG,Jun-00,185,28,Houston Rockets,6,UCLA,2018 Rnd 1 Pick 23,United States
4,Jrue Holiday,G,4-Jun,205,34,Boston Celtics,15,UCLA,2009 Rnd 1 Pick 17,United States
0,Ron Holland,F,8-Jun,206,19,Detroit Pistons,0,NBA G League Ignite,2024 Rnd 1 Pick 5,United States
14,DaRon Holmes II,PF,10-Jun,225,22,Denver Nuggets,0,Dayton,2024 Rnd 1 Pick 22,United States
22,Richaun Holmes,F,9-Jun,235,31,Washington Wizards,9,Bowling Green,2015 Rnd 2 Pick 7,United States
7,Chet Holmgren,C,1-Jul,208,22,Oklahoma City Thunder,2,Gonzaga,2022 Rnd 1 Pick 2,United States
0,Jalen Hood-Schifino,PG,5-Jun,215,21,Los Angeles Lakers,1,Indiana,2023 Rnd 1 Pick 17,United States
42,Al Horford,FC,9-Jun,240,38,Boston Celtics,17,Florida,2007 Rnd 1 Pick 3,Dominican RepublicUnited States
22,Talen Horton-Tucker,SF,4-Jun,234,23,Chicago Bulls,5,Iowa State,2019 Rnd 2 Pick 16,United States
2,Caleb Houstan,SF,8-Jun,205,21,Orlando Magic,2,Michigan,2022 Rnd 2 Pick 2,Canada
13,Jett Howard,GF,6-Jun,215,21,Orlando Magic,1,Michigan,2023 Rnd 1 Pick 11,United States
9,Kevin Huerter,SF,7-Jun,198,26,Sacramento Kings,6,Maryland,2018 Rnd 1 Pick 19,United States
30,James Huff,C,1-Jul,240,27,Memphis Grizzlies,3,Virginia,"2021 NBA Draft, Undrafted",United States
55,Ariel Hukporti,C,11-Jun,246,23,New York Knicks,0,MHP Riesen (Germany),2024 Rnd 2 Pick 28,GermanyTogo
12,De'Andre Hunter,PF,8-Jun,221,26,Atlanta Hawks,5,Virginia,2019 Rnd 1 Pick 4,United States
5,Bones Hyland,G,2-Jun,169,24,Los Angeles Clippers,3,VCU,2021 Rnd 1 Pick 26,United States
4,Oso Ighodaro,F,Jul-00,235,22,Phoenix Suns,0,Marquette,2024 Rnd 2 Pick 10,United States
7,Joe Ingles,F,8-Jun,220,37,Minnesota Timberwolves,10,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
14,Brandon Ingram,SF,8-Jun,190,27,New Orleans Pelicans,8,Duke,2016 Rnd 1 Pick 2,United States
55,Harrison Ingram,F,5-Jun,230,22,San Antonio Spurs,0,North Carolina,2024 Rnd 2 Pick 18,United States
11,Kyrie Irving,G,2-Jun,195,32,Dallas Mavericks,13,Duke,2011 Rnd 1 Pick 1,United StatesAustralia
